id,study,effect_size_id,species,species_id,subphylum,phylum,assortment_trait,trait_dimensions,field_collection,publication_year,pooled_data,spatially_pooled,temporally_pooled,yi,ni,vi
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,433,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.29,15,0.066666667
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,434,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,-0.3,8,0.125
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,435,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,-0.7,4,0.25
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,436,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,-0.01,12,0.083333333
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,437,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.4,4,0.25
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,438,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.55,11,0.090909091
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,439,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.76,12,0.083333333
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,440,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.33,8,0.125
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,441,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,-0.03,27,0.037037037
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,442,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.47,15,0.066666667
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,443,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.33,23,0.043478261
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,444,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.18,14,0.071428571
Dittrich et al. 2018 - Rana temporaria,Dittrich et al. 2018,445,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-vent length,uni,yes,2018,no,no,no,0.58,12,0.083333333
Dobson et al. 2011 - Aptenodytes patagonicus,Dobson et al. 2011,446,Aptenodytes patagonicus,Aptenodytes_patagonicus_ott494361,Aves,Chordata,weight,uni,yes,2011,no,no,no,0.248,73,0.01369863
Dobson et al. 2011 - Aptenodytes patagonicus,Dobson et al. 2011,447,Aptenodytes patagonicus,Aptenodytes_patagonicus_ott494361,Aves,Chordata,ear width,uni,yes,2011,no,no,no,0.175,73,0.01369863
Dobson et al. 2011 - Aptenodytes patagonicus,Dobson et al. 2011,448,Aptenodytes patagonicus,Aptenodytes_patagonicus_ott494361,Aves,Chordata,head width,uni,yes,2011,no,no,no,0.014,73,0.01369863
Dobson et al. 2011 - Aptenodytes patagonicus,Dobson et al. 2011,449,Aptenodytes patagonicus,Aptenodytes_patagonicus_ott494361,Aves,Chordata,ear surface area,tri,yes,2011,no,no,no,-0.053,71,0.014084507
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,450,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,weight,uni,yes,1984,no,no,no,0.57,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,451,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,femur length,uni,yes,1984,no,no,no,0.53,8,0.125
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,452,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,pronotal width,uni,yes,1984,no,no,no,0.26,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,453,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,weight,uni,yes,1984,no,no,no,0.22,8,0.125
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,454,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,femur length,uni,yes,1984,no,no,no,-0.09,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,455,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,pronotal width,uni,yes,1984,no,no,no,-0.72,8,0.125
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,456,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,pronotal width,uni,yes,1984,no,no,no,0.93,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,457,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,femur length,uni,yes,1984,no,no,no,0.64,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,458,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,weight,uni,yes,1984,no,no,no,0.52,12,0.083333333
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,459,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,weight,uni,yes,1984,no,no,no,0.23,14,0.071428571
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,460,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,pronotal width,uni,yes,1984,no,no,no,-0.38,14,0.071428571
Dodson and Marshall 1984 - Phymata fasciata,Dodson and Marshall 1984,461,Phymata fasciata,Phymata_fasciata_ott3475652,Insecta,Arthropoda,femur length,uni,yes,1984,no,no,no,-0.52,14,0.071428571
Dybas and Lloyd 1962 - Magicicada cassini,Dybas and Lloyd 1962,462,Magicicada cassini,Magicicada_cassini_ott435888,Insecta,Arthropoda,tibia length,uni,yes,1962,no,no,no,0.02,431,0.002320186
Dybas and Lloyd 1962 - Magicicada septendecim,Dybas and Lloyd 1962,463,Magicicada septendecim,Magicicada_septendecim_ott427477,Insecta,Arthropoda,tibia length,uni,yes,1962,no,no,no,0.05,340,0.002941176
Dyson et al. 1992 - Hyperolius marmoratus,Dyson et al. 1992,464,Hyperolius marmoratus,Hyperolius_marmoratus_ott441372,Amphibia,Chordata,snout-vent length,uni,yes,1992,no,no,no,0.081,228,0.004385965
Eaves et al. 1999 - Homo sapiens,Eaves et al. 1999,465,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1999,yes,no,yes,0.223,4571,0.000218771
Eckman et al. 2002 - Homo sapiens,Eckman et al. 2002,466,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2002,no,no,no,0.22,949,0.001053741
Eckman et al. 2002 - Homo sapiens,Eckman et al. 2002,467,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,2002,no,no,no,0.14,949,0.001053741
Eckman et al. 2002 - Homo sapiens,Eckman et al. 2002,468,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2002,no,no,no,0.13,400,0.0025
Eckman et al. 2002 - Homo sapiens,Eckman et al. 2002,469,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,2002,no,no,no,0.12,949,0.001053741
Einoder et al. 2008 - Puffinus tenuirostris,Einoder et al. 2008,470,Puffinus tenuirostris,Puffinus_tenuirostris_ott471652,Aves,Chordata,tarsus length,uni,yes,2008,yes,yes,yes,0.63,48,0.020833333
Einoder et al. 2008 - Puffinus tenuirostris,Einoder et al. 2008,471,Puffinus tenuirostris,Puffinus_tenuirostris_ott471652,Aves,Chordata,bill depth,uni,yes,2008,yes,yes,yes,0.62,52,0.019230769
Einoder et al. 2008 - Puffinus tenuirostris,Einoder et al. 2008,472,Puffinus tenuirostris,Puffinus_tenuirostris_ott471652,Aves,Chordata,head-bill length,uni,yes,2008,yes,yes,yes,0.27,48,0.020833333
Einoder et al. 2008 - Puffinus tenuirostris,Einoder et al. 2008,473,Puffinus tenuirostris,Puffinus_tenuirostris_ott471652,Aves,Chordata,bill length,uni,yes,2008,yes,yes,yes,0.06,51,0.019607843
Ellis and Bercovitch 2011 - Phascolarctos cinereus,Ellis and Bercovitch 2011,474,Phascolarctos cinereus,Phascolarctos_cinereus_victor_ott985451,Mammalia,Chordata,head length,uni,yes,2011,no,no,no,0.304,30,0.033333333
Ellis and Bercovitch 2011 - Phascolarctos cinereus,Ellis and Bercovitch 2011,475,Phascolarctos cinereus,Phascolarctos_cinereus_victor_ott985451,Mammalia,Chordata,weight,uni,yes,2011,no,no,no,0.009,30,0.033333333
Ellis et al. 2007 - Homo sapiens,Ellis et al. 2007,476,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2007,yes,yes,no,0.42,767,0.001303781
Elmberg 1991 - Rana temporaria,Elmberg 1991,477,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.143,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,478,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.336,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,479,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.123,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,480,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.072,7,0.142857143
Elmberg 1991 - Rana temporaria,Elmberg 1991,481,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.432,7,0.142857143
Elmberg 1991 - Rana temporaria,Elmberg 1991,482,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.3,5,0.2
Elmberg 1991 - Rana temporaria,Elmberg 1991,483,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.003,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,484,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.123,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,485,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.404,8,0.125
Elmberg 1991 - Rana temporaria,Elmberg 1991,486,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.427,7,0.142857143
Elmberg 1991 - Rana temporaria,Elmberg 1991,487,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.838,6,0.166666667
Elmberg 1991 - Rana temporaria,Elmberg 1991,488,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.235,6,0.166666667
Elmberg 1991 - Rana temporaria,Elmberg 1991,489,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.385,8,0.125
Elmberg 1991 - Rana temporaria,Elmberg 1991,490,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,-0.172,10,0.1
Elmberg 1991 - Rana temporaria,Elmberg 1991,491,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.075,7,0.142857143
Elmberg 1991 - Rana temporaria,Elmberg 1991,492,Rana temporaria,Rana_temporaria_temporaria_ott979590,Amphibia,Chordata,snout-ischium length,uni,no,1991,no,no,no,0.377,6,0.166666667
Enders 1995 - Onymacris bicolor,Enders 1995,493,Onymacris bicolor,Onymacris_bicolor_ott4618928,Insecta,Arthropoda,body length,uni,yes,1995,no,no,no,0.2,99,0.01010101
Enders 1995 - Onymacris bicolor,Enders 1995,494,Onymacris bicolor,Onymacris_bicolor_ott4618928,Insecta,Arthropoda,body length,uni,yes,1995,no,no,no,0.04,48,0.020833333
Enders 1995 - Onymacris bicolor,Enders 1995,495,Onymacris bicolor,Onymacris_bicolor_ott4618928,Insecta,Arthropoda,body length,uni,yes,1995,no,no,no,0.42,26,0.038461538
Fairbairn 1988 - Aquarius remigis,Fairbairn 1988,496,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.214,100,0.01
Fairbairn 1988 - Aquarius remigis,Fairbairn 1988,497,Aquarius remigis,Aquarius_remigis_ott436657,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.15,46,0.02173913
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,498,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.262,16,0.0625
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,499,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.007,11,0.090909091
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,500,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.47,20,0.05
Fairbairn 1988 - Gerris buenoi,Fairbairn 1988,501,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,-0.13,20,0.05
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,502,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,-0.142,22,0.045454545
Fairbairn 1988 - Gerris buenoi,Fairbairn 1988,503,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.17,18,0.055555556
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,504,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.291,10,0.1
Fairbairn 1988 - Gerris buenoi,Fairbairn 1988,505,Gerris buenoi,Gerris_buenoi_ott706417,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.035,36,0.027777778
Fairbairn 1988 - Gerris comatus,Fairbairn 1988,506,Gerris comatus,Gerris_comatus_ott859177,Insecta,Arthropoda,body length,uni,no,1988,no,no,no,0.332,12,0.083333333
Fan et al. 2013 - Bufo gargarizans,Fan et al. 2013,507,Bufo gargarizans,Bufo_gargarizans_miyakonis_ott857965,Amphibia,Chordata,snout-vent length,uni,yes,2013,yes,yes,yes,0.22,63,0.015873016
Fan et al. 2013 - Duttaphrynus melanostictus,Fan et al. 2013,508,Duttaphrynus melanostictus,Duttaphrynus_melanostictus_ott962265,Amphibia,Chordata,snout-vent length,uni,yes,2013,yes,yes,yes,0.165,135,0.007407407
Fauchier and Thomas 2001 - Gammarus insensibilis,Fauchier and Thomas 2001,509,Gammarus insensibilis,Gammarus_insensibilis_ott2982554,Crustacea,Arthropoda,body length,uni,yes,2001,no,no,no,0.06,33,0.03030303
Fauchier and Thomas 2001 - Gammarus insensibilis,Fauchier and Thomas 2001,510,Gammarus insensibilis,Gammarus_insensibilis_ott2982554,Crustacea,Arthropoda,body length,uni,yes,2001,no,no,no,0.02,100,0.01
Fauchier and Thomas 2001 - Gammarus insensibilis,Fauchier and Thomas 2001,511,Gammarus insensibilis,Gammarus_insensibilis_ott2982554,Crustacea,Arthropoda,body length,uni,yes,2001,no,no,no,-0.089,52,0.019230769
Fazhan et al. 2017 - Scylla olivacea,Fazhan et al. 2017,512,Scylla olivacea,Scylla_olivacea_ott1084538,Crustacea,Arthropoda,carapace width,uni,no,2017,no,no,no,0.242,52,0.019230769
Fazhan et al. 2017 - Scylla paramamosain,Fazhan et al. 2017,513,Scylla paramamosain,Scylla_paramamosain_ott1084541,Crustacea,Arthropoda,carapace width,uni,no,2017,no,no,no,0.286,53,0.018867925
Fazhan et al. 2017 - Scylla tranquebarica,Fazhan et al. 2017,514,Scylla tranquebarica,Scylla_tranquebarica_ott1084544,Crustacea,Arthropoda,carapace width,uni,no,2017,no,no,no,0.278,42,0.023809524
Forbes et al. 1992 - Artemia salina,Forbes et al. 1992,515,Artemia salina,Artemia_salina_ott558087,Crustacea,Arthropoda,body length,uni,yes,1992,no,no,no,0.74,16,0.0625
Forbes et al. 1992 - Artemia salina,Forbes et al. 1992,516,Artemia salina,Artemia_salina_ott558087,Crustacea,Arthropoda,body length,uni,yes,1992,no,no,no,0.56,34,0.029411765
Forbes et al. 1992 - Artemia salina,Forbes et al. 1992,517,Artemia salina,Artemia_salina_ott558087,Crustacea,Arthropoda,body length,uni,yes,1992,no,no,no,0.42,12,0.083333333
Forbes et al. 1992 - Artemia salina,Forbes et al. 1992,518,Artemia salina,Artemia_salina_ott558087,Crustacea,Arthropoda,body length,uni,yes,1992,no,no,no,-0.11,48,0.020833333
Forero et al. 2001 - Spheniscus magellanicus,Forero et al. 2001,519,Spheniscus magellanicus,Spheniscus_magellanicus_ott429622,Aves,Chordata,bill depth,uni,yes,2001,yes,yes,no,0.22,111,0.009009009
Forero et al. 2001 - Spheniscus magellanicus,Forero et al. 2001,520,Spheniscus magellanicus,Spheniscus_magellanicus_ott429622,Aves,Chordata,weight,uni,yes,2001,yes,yes,no,0.18,100,0.01
Forero et al. 2001 - Spheniscus magellanicus,Forero et al. 2001,521,Spheniscus magellanicus,Spheniscus_magellanicus_ott429622,Aves,Chordata,flipper length,uni,yes,2001,yes,yes,no,0.06,104,0.009615385
Forero et al. 2001 - Spheniscus magellanicus,Forero et al. 2001,522,Spheniscus magellanicus,Spheniscus_magellanicus_ott429622,Aves,Chordata,bill length,uni,yes,2001,yes,yes,no,-0.11,111,0.009009009
Forero et al. 2001 - Spheniscus magellanicus,Forero et al. 2001,523,Spheniscus magellanicus,Spheniscus_magellanicus_ott429622,Aves,Chordata,weight,uni,yes,2001,yes,yes,no,0.24,57,0.01754386
Franceschi et al. 2010 - Gammarus pulex,Franceschi et al. 2010,524,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body height,uni,yes,2010,no,no,no,0.32,62,0.016129032
Franceschi et al. 2010 - Gammarus pulex,Franceschi et al. 2010,525,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body height,uni,yes,2010,no,no,no,0.28,159,0.006289308
French et al. 2015 - Diabrotica virgifera virgifera,French et al. 2015,526,Diabrotica virgifera virgifera,Diabrotica_virgifera_virgifera_ott670133,Insecta,Arthropoda,weight,uni,no,2015,no,no,no,0.401,120,0.008333333
Frey et al. 1998 - Danaus plexippus,Frey et al. 1998,527,Danaus plexippus,Danaus_plexippus_plexippus_ott532411,Insecta,Arthropoda,forewing length,uni,yes,1998,no,no,no,0.34,78,0.012820513
Frey et al. 1998 - Danaus plexippus,Frey et al. 1998,528,Danaus plexippus,Danaus_plexippus_plexippus_ott532411,Insecta,Arthropoda,forewing length,uni,yes,1998,no,no,no,0.21,60,0.016666667
Friedl and Klump 2005 - Hyla arborea,Friedl and Klump 2005,529,Hyla arborea,Hyla_arborea_ott677266,Amphibia,Chordata,weight,uni,yes,2005,no,no,no,0.027,19,0.052631579
Friedl and Klump 2005 - Hyla arborea,Friedl and Klump 2005,530,Hyla arborea,Hyla_arborea_ott677266,Amphibia,Chordata,snout-vent length,uni,yes,2005,no,no,no,-0.362,22,0.045454545
Friedl and Klump 2005 - Hyla arborea,Friedl and Klump 2005,531,Hyla arborea,Hyla_arborea_ott677266,Amphibia,Chordata,weight,uni,yes,2005,no,no,no,-0.173,25,0.04
Friedl and Klump 2005 - Hyla arborea,Friedl and Klump 2005,532,Hyla arborea,Hyla_arborea_ott677266,Amphibia,Chordata,snout-vent length,uni,yes,2005,no,no,no,-0.254,30,0.033333333
Furusho 1961 - Homo sapiens,Furusho 1961,533,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1961,yes,yes,yes,0.072,533,0.001876173
Gagliardi-Seeley and Itzkowitz 2006 - Amatitlania nigrofasciata,Gagliardi-Seeley and Itzkowitz 2006,534,Amatitlania nigrofasciata,Amatitlania_nigrofasciata_ott170115,Teleostei,Chordata,body length,uni,yes,2006,no,no,no,0.772,47,0.021276596
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,535,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.726,45,0.022222222
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,536,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.705,40,0.025
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,537,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.676,91,0.010989011
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,538,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.655,48,0.020833333
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,539,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.654,30,0.033333333
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,540,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.63,94,0.010638298
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,541,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.607,35,0.028571429
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,542,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.545,65,0.015384615
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,543,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.538,80,0.0125
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,544,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.482,83,0.012048193
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,545,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.458,53,0.018867925
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,546,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.453,98,0.010204082
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,547,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.451,89,0.011235955
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,548,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.389,44,0.022727273
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,549,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.384,53,0.018867925
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,550,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.346,115,0.008695652
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,551,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.269,68,0.014705882
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,552,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.219,83,0.012048193
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,553,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.218,98,0.010204082
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,554,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.213,104,0.009615385
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,555,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,0.2,97,0.010309278
Galipaud et al. 2015 - Gammarus pulex/Gammarus fossarum,Galipaud et al. 2015,556,Gammarus pulex/Gammarus fossarum,Gammarus_fossarum_ott596815,Crustacea,Arthropoda,height of the fourth coxal plate,uni,yes,2015,no,no,no,-0.105,37,0.027027027
Galligan and Kleindorfer 2010 - Geospiza fuliginosa,Galligan and Kleindorfer 2010,557,Geospiza fuliginosa,Geospiza_fuliginosa_ott589956,Aves,Chordata,beak length,uni,yes,2010,yes,no,yes,0.8,12,0.083333333
Galligan and Kleindorfer 2010 - Geospiza fuliginosa,Galligan and Kleindorfer 2010,558,Geospiza fuliginosa,Geospiza_fuliginosa_ott589956,Aves,Chordata,beak length,uni,yes,2010,yes,no,yes,0.07,11,0.090909091
Garcia-Navas et al. 2009 - Cyanistes caeruleus,Garcia-Navas et al. 2009,559,Cyanistes caeruleus,Cyanistes_caeruleus_caeruleus_ott744585,Aves,Chordata,tarsus length,uni,yes,2009,yes,yes,yes,0.174,107,0.009345794
