"","Author","Year","Title","DOI","DTIC.link","SA.measure.type","Sample.size","Sample.size.stats","es.z","vi.z","SampleID","Outcome"
"142","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.354092529,0.027027027,"Saus2006",142
"143","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.354092529,0.027027027,"Saus2006",143
"144","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.376885901,0.027027027,"Saus2006",144
"145","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.3884231,0.027027027,"Saus2006",145
"146","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.40005965,0.027027027,"Saus2006",146
"147","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.411800034,0.027027027,"Saus2006",147
"148","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.484700279,0.027027027,"Saus2006",148
"149","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.497311288,0.027027027,"Saus2006",149
"150","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.497311288,0.027027027,"Saus2006",150
"151","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SABARS",40,40,0.497311288,0.027027027,"Saus2006",151
"152","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.522984278,0.027027027,"Saus2006",152
"153","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.549306144,0.027027027,"Saus2006",153
"154","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.576339755,0.027027027,"Saus2006",154
"155","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.662462707,0.027027027,"Saus2006",155
"156","Saus",2006,"The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study","10.1207/s15327876mp1803s_2",NA,"SARS",40,40,0.693147181,0.027027027,"Saus2006",156
"157","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SABARS",14,14,-0.229970121,0.090909091,"Strater2001",157
"158","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.21735959,0.090909091,"Strater2001",158
"159","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.213171347,0.090909091,"Strater2001",159
"160","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.146029224,0.090909091,"Strater2001",160
"161","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.13990573,0.090909091,"Strater2001",161
"162","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.132774772,0.090909091,"Strater2001",162
"163","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,-0.125657214,0.090909091,"Strater2001",163
"164","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SABARS",14,14,-0.0852056,0.090909091,"Strater2001",164
"165","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.017001638,0.090909091,"Strater2001",165
"166","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SABARS",14,14,0.097305953,0.090909091,"Strater2001",166
"167","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.111459277,0.090909091,"Strater2001",167
"168","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.156259498,0.090909091,"Strater2001",168
"169","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SABARS",14,14,0.162413138,0.090909091,"Strater2001",169
"170","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.167550482,0.090909091,"Strater2001",170
"171","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.168578995,0.090909091,"Strater2001",171
"172","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.207946366,0.090909091,"Strater2001",172
"173","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.213171347,0.090909091,"Strater2001",173
"174","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","Other",14,14,0.266108407,0.090909091,"Strater2001",174
"175","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.267181208,0.090909091,"Strater2001",175
"176","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.308421065,0.090909091,"Strater2001",176
"177","Strater",2001,"Measures of platoon leader situation awareness in virtual decision-making exercises","10.1037/e500592012-001","http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf","SAGAT",14,14,0.387264981,0.090909091,"Strater2001",177
"178","Sulistyawati",2011,"Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities","10.1080/10508414.2011.556492",NA,"SAGAT",16,16,0.587367992,0.076923077,"Sulistyawati",178
"179","Sulistyawati",2011,"Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities","10.1080/10508414.2011.556492",NA,"SAGAT",16,16,0.411800034,0.076923077,"Sulistyawati",179
"180","Sulistyawati",2011,"Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities","10.1080/10508414.2011.556492",NA,"SAGAT",16,16,0.200650085,0.076923077,"Sulistyawati",180
"181","Sulistyawati",2011,"Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities","10.1080/10508414.2011.556492",NA,"Other",16,16,0.733168534,0.076923077,"Sulistyawati",181
"182","Sulistyawati and Chui",2009,"Confidence Bias in Situation Awareness","10.1007/978-3-642-02728-4_34",NA,"Other",16,16,0.741416144,0.076923077,"Sulistyawati",182
"183","Venturino",1990,"Performance-based measures of merit for tactical situation awareness",NA,NA,"Direct-SR",16,16,0.618381314,0.076923077,"Venturino1990",183
"184","Venturino",1990,"Performance-based measures of merit for tactical situation awareness",NA,NA,"Direct-SR",16,16,0.693147181,0.076923077,"Venturino1990",184
"185","Venturino",1990,"Performance-based measures of merit for tactical situation awareness",NA,NA,"Other",16,16,0.829114038,0.076923077,"Venturino1990",185
"186","Venturino",1990,"Performance-based measures of merit for tactical situation awareness",NA,NA,"Other",16,16,1.256152812,0.076923077,"Venturino1990",186
"187","Yang et al.",2011,"Operators' signal-detection performance in video display unit monitoring tasks of the main control room","10.1016/j.ssci.2011.04.010",NA,"SART",13,13,-0.030009005,0.1,"Yang et al. 2011",187
"188","Yang et al.",2011,"Operators' signal-detection performance in video display unit monitoring tasks of the main control room","10.1016/j.ssci.2011.04.010",NA,"SART",13,13,-0.140925576,0.1,"Yang et al. 2011",188
"189","Yang et al.",2011,"Operators' signal-detection performance in video display unit monitoring tasks of the main control room","10.1016/j.ssci.2011.04.010",NA,"SART",13,13,-0.171666664,0.1,"Yang et al. 2011",189
"190","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.435611223,0.047619048,"Entin2000",190
"191","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.234189467,0.047619048,"Entin2000",191
"192","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,-0.01119668,0.047619048,"Entin2000",192
"193","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.359725916,0.047619048,"Entin2000",193
"194","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.117557616,0.047619048,"Entin2000",194
"195","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,-0.01119668,0.047619048,"Entin2000",195
"196","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.1815121,0.047619048,"Entin2000",196
"197","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.618381314,0.047619048,"Entin2000",197
"198","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.632833187,0.047619048,"Entin2000",198
"199","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.13073985,0.047619048,"Entin2000",199
"200","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.236012327,0.047619048,"Entin2000",200
"201","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.237752582,0.047619048,"Entin2000",201
"202","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.40005965,0.047619048,"Entin2000",202
"203","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.632833187,0.047619048,"Entin2000",203
"204","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,-0.023078832,0.047619048,"Entin2000",204
"205","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,0.243872194,0.047619048,"Entin2000",205
"206","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"SAGAT",24,24,0.376885901,0.047619048,"Entin2000",206
"207","Entin",2000,"AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN","10.1518/155534308X284345",NA,"General Know.",24,24,-0.192337169,0.047619048,"Entin2000",207
"208","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",34,34,0.497311288,0.032258065,"Gugerty1997Exp1",208
"209","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",34,34,0.662462707,0.032258065,"Gugerty1997Exp1",209
"210","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",34,34,0.847955755,0.032258065,"Gugerty1997Exp1",210
"211","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",34,34,0.741416144,0.032258065,"Gugerty1997Exp1",211
"212","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",34,34,1.071431684,0.032258065,"Gugerty1997Exp1",212
"213","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",79,79,0.320545409,0.013157895,"Gugerty1997Exp2",213
"214","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",79,79,0.287682072,0.013157895,"Gugerty1997Exp2",214
"215","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",79,79,0.447692024,0.013157895,"Gugerty1997Exp2",215
"216","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",79,79,0.549306144,0.013157895,"Gugerty1997Exp2",216
"217","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",79,79,0.677666068,0.013157895,"Gugerty1997Exp2",217
"218","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",77,77,0.376885901,0.013513514,"Gugerty1997Exp3",218
"219","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",77,77,0.287682072,0.013513514,"Gugerty1997Exp3",219
"220","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Explicit Recall",77,77,0.411800034,0.013513514,"Gugerty1997Exp3",220
"221","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",77,77,0.472230804,0.013513514,"Gugerty1997Exp3",221
"222","Gugerty",1997,"Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory","10.1037/1076-898X.3.1.42",NA,"Other",77,77,0.847955755,0.013513514,"Gugerty1997Exp3",222
"223","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.202732554,0.010416667,"Gutzwiller2013",223
"224","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.775298706,0.010416667,"Gutzwiller2013",224
"225","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.234189467,0.010416667,"Gutzwiller2013",225
"226","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.244774113,0.010416667,"Gutzwiller2013",226
"227","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0,0.010416667,"Gutzwiller2013",227
"228","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.522984278,0.010416667,"Gutzwiller2013",228
"229","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.331647109,0.010416667,"Gutzwiller2013",229
"230","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.276863823,0.010416667,"Gutzwiller2013",230
"231","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.13073985,0.010416667,"Gutzwiller2013",231
"232","Gutzwiller",2013,"The Role of Working Memory in Levels of Situation Awareness","10.1177/1555343412451749",NA,"Other",99,99,0.693147181,0.010416667,"Gutzwiller2013",232
"233","Stanners",2005,"An Empirical Study of the Relationship between Situation Awareness and Decision Making",NA,"https://apps.dtic.mil/docs/citations/ADA434593","SAGAT",24,24,0.510070337,0.047619048,"Stanners2005",233
"234","Stanners",2005,"An Empirical Study of the Relationship between Situation Awareness and Decision Making",NA,"https://apps.dtic.mil/docs/citations/ADA434593","SAGAT",24,24,0.459896681,0.047619048,"Stanners2005",234
"235","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.237404274,0.027777778,"McDermott2013",235
"236","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.102967191,0.027777778,"McDermott2013",236
"237","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.097987998,0.027777778,"McDermott2013",237
"238","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.430812377,0.027777778,"McDermott2013",238
"239","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.450122871,0.027777778,"McDermott2013",239
"240","McDermott",2013,"METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS",NA,"https://apps.dtic.mil/docs/citations/ADA434593","Other",39,39,0.364304607,0.027777778,"McDermott2013",240
"241","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.435611223,0.019230769,"Loft2013",241
"242","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.411800034,0.019230769,"Loft2013",242
"243","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.120581028,0.019230769,"Loft2013",243
"244","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.020002667,0.019230769,"Loft2013",244
"245","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.080171325,0.019230769,"Loft2013",245
"246","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.010000333,0.019230769,"Loft2013",246
"247","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SART",55,55,-0.171666664,0.019230769,"Loft2013",247
"248","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.010000333,0.019230769,"Loft2013",248
"249","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.213171347,0.019230769,"Loft2013",249
"250","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.090244188,0.019230769,"Loft2013",250
"251","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.030009005,0.019230769,"Loft2013",251
"252","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.120581028,0.019230769,"Loft2013",252
"253","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.040021354,0.019230769,"Loft2013",253
"254","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SART",55,55,-0.010000333,0.019230769,"Loft2013",254
"255","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.030009005,0.019230769,"Loft2013",255
"256","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.060072156,0.019230769,"Loft2013",256
"257","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.010000333,0.019230769,"Loft2013",257
"258","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,0.411800034,0.019230769,"Loft2013",258
"259","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.090244188,0.019230769,"Loft2013",259
"260","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SPAM",55,55,-0.050041729,0.019230769,"Loft2013",260
"261","Loft",2013,"Using the situation present assessment method to measure situation awareness in simulated submarine track management","10.1504/IJHFE.2013.055975",NA,"SART",55,55,0.120581028,0.019230769,"Loft2013",261
"262","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SART",21,21,-0.233315591,0.055555556,"Pierce2008",262
"263","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SART",21,21,0.123144159,0.055555556,"Pierce2008",263
"264","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SART",21,21,0.193543695,0.055555556,"Pierce2008",264
"265","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SART",21,21,0.244774113,0.055555556,"Pierce2008",265
"266","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SAGAT",21,21,0.192337169,0.055555556,"Pierce2008",266
"267","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SPAM",21,21,0.227583866,0.055555556,"Pierce2008",267
"268","Pierce",2008,"COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION","http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF",NA,"SPAM",21,21,0.407016082,0.055555556,"Pierce2008",268
